S.No, Part Number, Manufacturer, Reference designator, Part Value, Qty, In Stock, SKU, Price, Total Price, Product Url,Seller
1,"RC0603JR-0710KL",Yageo,"r1,r12,r13,r14,r15,r16,r17,r25,r26",10000 ohm, 9, 8603, 2879583, 0.00240, 0.0216, https://octopart.com/click/track?country=IN&ak=17001198&sig=0922bfb&sid=2454&ppid=1160844&vpid=19679401&ct=offers, Future Electronics
2,"RC0603JR-071KL",Yageo,"r2,r24",1000 ohm, 2, 5774, RC0603JR-071KL, 0.00170, 0.0034, https://octopart.com/click/track?country=IN&ak=17001198&sig=0eb00c7&sid=13811&ppid=55402888&vpid=189264391&ct=offers, Area51
3,"na",Na,"r3",1600.5 ohm, 1, na, na, na, 0, na, na
4,"RC0603JR-074K7L",Yageo,"r4",4700 ohm, 1, 29513, RC0603JR-074K7L, 0.01500, 0.015, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e0dcd2&sid=2412&ppid=55458509&vpid=195934255&ct=offers, Quest
5,"RC0603JR-072K2L",Yageo,"r5,r6,r7,r8,r9,r10",2200 ohm, 6, 55853, 98K7303, 0.00100, 0.006, https://octopart.com/click/track?country=IN&ak=17001198&sig=09e4657&sid=2402&ppid=55508104&vpid=20052572&ct=offers, Newark
6,"STM32F401RBT6",ST Micro,"u1",STM32F401RBT6 , 1, 799, C75278, 2.66700, 2.667, https://octopart.com/click/track?country=IN&ak=17001198&sig=09be579&sid=27971&ppid=30038917&vpid=445984496&ct=offers, LCSC
7,"MAX4995AAUT+T",Maxim,"u2",MAX4995AAUT+T , 1, 2472, MAX4995AAUT+T/BKN, 3.10157, 3.10157, https://octopart.com/click/track?country=IN&ak=17001198&sig=0012ba4&sid=5822&ppid=43946224&vpid=328799199&ct=offers, Avnet
8,"RC0603JR-0747KL",Yageo,"r11",47000 ohm, 1, 3381, 3143658, 0.00240, 0.0024, https://octopart.com/click/track?country=IN&ak=17001198&sig=044d537&sid=2454&ppid=55402890&vpid=416981918&ct=offers, Future Electronics
9,"c0603c105k3ractu",Kemet,"c1,c10",1.0E-6 F, 2, 143, C0603C105K3RACTU**MULT1, 0.20540, 0.4108, https://octopart.com/click/track?country=IN&ak=17001198&sig=0f39295&sid=1106&ppid=22544255&vpid=52749042&ct=offers, Arrow
10,"06035C104K4Z2A",Avx,"c2,c3,c4,c5,c6",1.0E-7 F, 5, 1850, 06035C104K4Z2A/BKN, 0.14259, 0.71295, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e53ecb&sid=5822&ppid=18078370&vpid=274758521&ct=offers, Avnet
11,"z0603c241asmst",Kemet,"f1",240 ohm, 1, 3960, 80-Z0603C241ASMST, 0.23000, 0.23, https://octopart.com/click/track?country=IN&ak=17001198&sig=07a3e59&sid=2401&ppid=7189478&vpid=37681534&ct=offers, Mouser
12,"GRM188R6YA475KE15D",Murata,"c7",4.7E-6 F, 1, 976930, 490-7205-6-ND, 0.37000, 0.37, https://octopart.com/click/track?country=IN&ak=17001198&sig=0767ac1&sid=459&ppid=26982329&vpid=68513478&ct=offers, Digi-Key
13,"c0603c225k8ractu",Kemet,"c8",2.2E-6 F, 1, 1244, 96Y7019, 0.22000, 0.22, https://octopart.com/click/track?country=IN&ak=17001198&sig=093ae55&sid=2402&ppid=52390039&vpid=271766588&ct=offers, Newark
14,"06035C103K4Z2A",Avx,"c9",1.0E-8 F, 1, 54256, 581-06035C103K4Z2A, 0.22000, 0.22, https://octopart.com/click/track?country=IN&ak=17001198&sig=097f17b&sid=2401&ppid=9079594&vpid=37780132&ct=offers, Mouser
15,"HDC1080DMBR",Texas Instruments,"u3",HDC1080DMBR , 1, 3054, C82227, 1.95840, 1.9584, https://octopart.com/click/track?country=IN&ak=17001198&sig=06c7e4a&sid=27971&ppid=68058745&vpid=445992641&ct=offers, LCSC
