S.No, Part Number, Manufacturer, Reference designator, Part Value, Qty, In Stock, SKU, Price, Total Price, Product Url,Seller
1,"RC0603JR-0710KL",Yageo,"r1,r7,r8,r9,r10,r12,r13,r14,r15,r16,r17,r18,r21,r22,r27",10000 ohm, 15, 8603, 2879583, 0.00240, 0.036, https://octopart.com/click/track?country=IN&ak=17001198&sig=0922bfb&sid=2454&ppid=1160844&vpid=19679401&ct=offers, Future Electronics
2,"RC0603JR-071KL",Yageo,"r2",1000 ohm, 1, 5774, RC0603JR-071KL, 0.00170, 0.0017, https://octopart.com/click/track?country=IN&ak=17001198&sig=0eb00c7&sid=13811&ppid=55402888&vpid=189264391&ct=offers, Area51
3,"na",Na,"r3",1600.5 ohm, 1, na, na, na, 0, na, na
4,"RC0603JR-074K7L",Yageo,"r4",4700 ohm, 1, 29513, RC0603JR-074K7L, 0.01500, 0.015, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e0dcd2&sid=2412&ppid=55458509&vpid=195934255&ct=offers, Quest
5,"RC0603JR-072K2L",Yageo,"r5,r6,r20",2200 ohm, 3, 55923, 98K7303, 0.00100, 0.003, https://octopart.com/click/track?country=IN&ak=17001198&sig=09e4657&sid=2402&ppid=55508104&vpid=20052572&ct=offers, Newark
6,"STM32L011F4P6",ST Micro,"u1",STM32L011F4P6 , 1, 1187, C87903, 1.34960, 1.3496, https://octopart.com/click/track?country=IN&ak=17001198&sig=0363544&sid=27971&ppid=71108058&vpid=445984534&ct=offers, LCSC
7,"z0603c241asmst",Kemet,"f1",240 ohm, 1, 3960, 80-Z0603C241ASMST, 0.23000, 0.23, https://octopart.com/click/track?country=IN&ak=17001198&sig=07a3e59&sid=2401&ppid=7189478&vpid=37681534&ct=offers, Mouser
8,"06035C104K4Z2A",Avx,"c1,c2,c3,c4",1.0E-7 F, 4, 1585, 06035C104K4Z2A**MULT1, 0.04920, 0.1968, https://octopart.com/click/track?country=IN&ak=17001198&sig=0c44469&sid=1106&ppid=18078370&vpid=179587332&ct=offers, Arrow
9,"GRM188R6YA475KE15D",Murata,"c5",4.7E-6 F, 1, 978410, 490-7205-6-ND, 0.37000, 0.37, https://octopart.com/click/track?country=IN&ak=17001198&sig=0767ac1&sid=459&ppid=26982329&vpid=68513478&ct=offers, Digi-Key
10,"06035C103K4Z2A",Avx,"c6",1.0E-8 F, 1, 54256, 581-06035C103K4Z2A, 0.22000, 0.22, https://octopart.com/click/track?country=IN&ak=17001198&sig=097f17b&sid=2401&ppid=9079594&vpid=37780132&ct=offers, Mouser
11,"c0603c105k3ractu",Kemet,"c7",1.0E-6 F, 1, 143, C0603C105K3RACTU**MULT1, 0.20540, 0.2054, https://octopart.com/click/track?country=IN&ak=17001198&sig=0f39295&sid=1106&ppid=22544255&vpid=52749042&ct=offers, Arrow
